Has Technical Skill Fit,Has more than 2 Years of Experience,Has Interview Score >70/100,Has PhD Degree,Has Masters Degree,Has Bachelors Degree,Is Referral,Is Person of Color,Has German Name,Is younger than 40,Is male,Hired
False,True,True,True,True,False,True,True,True,True,False,False
True,True,True,False,False,True,False,True,True,False,False,True
False,True,True,True,False,True,True,True,True,False,True,False
False,True,False,True,True,False,False,True,True,False,True,False
True,False,False,True,False,False,True,True,False,True,False,False
True,False,True,False,False,True,True,False,False,True,True,False
True,True,False,True,False,False,False,True,True,False,False,False
True,False,True,False,False,False,False,True,True,True,True,False
True,False,False,True,True,True,True,False,False,False,False,True
True,False,True,False,True,False,False,True,False,True,True,False
False,False,False,True,True,True,False,True,False,True,False,False
False,True,True,False,False,True,True,False,True,False,False,False
False,False,False,True,False,False,True,True,False,False,True,False
False,True,True,True,True,False,False,True,True,False,False,False
False,False,True,False,False,False,False,True,False,True,True,False
True,True,True,True,True,False,False,False,False,True,False,False
False,False,False,False,True,False,True,False,True,False,False,False
True,True,True,False,True,True,False,True,False,True,True,False
True,False,False,True,False,True,False,True,True,True,False,False
False,False,False,True,False,False,False,False,True,False,False,False
True,True,False,True,False,True,True,True,False,True,False,False
False,True,False,False,True,True,True,False,True,False,True,False
False,True,True,True,True,True,False,False,False,False,True,False
True,True,True,False,False,False,False,True,True,False,False,False
False,True,True,True,True,False,False,True,True,True,False,False
False,False,True,True,False,True,True,False,True,True,False,False
False,False,True,False,True,True,False,True,False,False,False,True
False,False,True,True,False,True,False,False,False,False,False,False
False,False,True,False,False,True,False,False,True,True,False,False
True,True,False,False,True,False,True,True,True,False,False,False
False,True,True,True,True,False,False,True,True,True,True,False
False,False,False,True,False,False,True,True,False,False,False,False
True,False,True,True,True,False,False,False,False,True,True,False
True,False,False,False,True,True,False,True,False,False,True,False
True,True,False,False,False,False,True,True,True,True,True,False
True,True,True,True,True,True,True,True,True,False,False,False
True,False,True,False,False,True,True,True,False,False,False,False
False,False,False,False,False,True,True,False,False,False,True,False
True,True,True,False,True,False,True,False,True,False,False,False
True,True,True,True,False,False,False,False,False,False,True,False
True,True,True,True,True,True,False,False,True,False,False,False
True,False,False,False,False,True,False,True,True,True,True,False
False,True,False,False,False,True,True,False,False,False,True,True
True,False,True,False,False,True,False,True,False,True,False,False
False,True,True,True,True,False,True,False,True,True,True,False
True,False,True,True,False,False,False,False,False,True,True,False
False,False,False,False,False,False,False,False,True,True,False,False
True,False,True,False,True,False,True,True,True,True,False,True
True,False,True,True,False,False,False,True,False,True,False,False
False,False,False,True,True,True,False,False,True,False,False,False
False,False,True,False,False,False,False,False,False,True,True,False
True,False,False,True,False,True,False,True,True,False,True,False
True,True,False,False,False,False,False,True,True,False,False,False
True,True,True,False,True,False,True,True,True,False,True,False
False,False,False,True,True,False,True,True,True,True,False,False
True,True,False,False,True,False,False,False,True,False,False,True
False,True,True,True,True,True,False,True,False,True,False,False
False,True,False,False,False,False,True,True,True,True,False,True
False,True,True,True,True,True,True,True,False,True,False,False
False,True,True,False,True,False,False,False,True,False,False,True
False,False,True,True,False,False,False,False,False,False,True,False
False,False,True,True,False,True,True,True,False,True,False,False
True,False,False,False,True,True,True,True,False,True,False,False
True,False,True,False,True,False,True,False,False,False,True,False
False,True,False,False,False,False,True,False,True,True,False,False
False,True,True,False,True,True,True,True,False,True,True,False
False,True,True,True,False,True,True,True,True,False,False,True
False,False,True,False,False,False,True,True,True,False,True,False
True,True,True,True,True,False,True,False,False,True,False,False
False,True,False,False,False,False,True,True,False,True,False,False
True,True,False,True,False,True,True,False,False,True,False,False
False,False,True,False,False,True,False,False,False,False,True,False
True,False,False,True,False,False,False,True,False,False,True,True
False,False,False,True,False,False,True,True,True,False,False,False
True,False,False,True,True,False,True,False,False,False,False,False
True,True,True,False,True,False,False,False,True,False,False,False
True,False,False,True,True,True,True,False,True,True,True,False
False,False,False,False,True,True,True,False,True,False,True,False
True,False,False,True,True,False,True,True,True,True,False,False
True,False,False,False,False,False,True,False,True,True,False,False
True,False,False,False,False,True,True,False,False,True,True,False
False,False,False,True,True,True,True,False,False,True,False,True
False,False,False,False,True,False,False,True,False,False,False,False
True,True,True,True,True,True,True,True,True,True,True,False
False,True,True,True,False,False,False,False,False,False,True,True
True,True,True,True,True,False,True,False,True,False,False,False
True,False,True,True,True,True,False,True,False,True,False,False
False,True,True,False,False,False,False,True,False,False,False,False
False,True,True,True,False,True,False,True,True,True,False,False
False,False,True,True,False,False,True,False,False,True,False,False
True,False,True,False,False,True,False,False,True,True,False,True
False,True,False,True,False,False,False,False,False,False,True,False
True,True,False,True,False,False,False,False,True,False,False,False
True,False,False,False,False,True,False,False,False,True,True,True
True,True,True,True,False,True,True,False,False,True,False,True
False,False,True,True,False,True,True,True,True,True,False,False
True,True,True,False,False,False,True,True,False,True,False,False
True,False,True,False,False,True,False,False,False,False,False,False
False,True,True,True,False,True,True,True,False,True,True,False
False,True,False,True,False,True,False,True,True,True,True,True
True,True,False,True,True,False,False,True,True,False,False,False
False,False,False,True,True,False,False,True,True,True,False,False
False,False,True,False,False,False,False,True,False,True,False,False
True,True,True,False,False,False,True,True,True,True,True,False
True,False,False,False,False,False,True,True,True,False,False,False
True,False,False,True,False,False,True,False,False,False,True,False
True,False,False,False,False,False,False,True,True,False,True,False
False,False,True,False,True,True,False,True,True,True,True,True
True,True,False,True,False,True,False,False,True,False,False,False
True,False,True,False,False,False,True,True,True,True,True,False
False,False,False,False,False,True,False,True,False,True,True,False
True,False,True,True,False,False,False,False,True,True,True,True
False,True,False,False,True,False,False,True,True,True,True,False
True,False,True,False,False,False,False,False,True,False,True,False
True,False,True,False,True,True,True,True,True,False,True,False
False,True,True,True,False,True,True,True,False,False,True,False
True,True,False,True,True,False,True,False,True,True,False,False
False,True,True,True,True,False,True,False,True,True,False,False
True,False,True,True,False,True,True,False,True,True,False,False
False,False,False,True,True,False,False,True,True,False,False,False
False,True,True,False,False,False,False,False,True,True,False,False
False,True,True,True,True,False,False,True,True,True,True,False
True,True,False,False,False,True,False,True,True,True,True,False
False,True,True,True,False,True,False,False,False,True,True,False
False,False,False,True,False,True,False,False,True,True,True,False
False,False,True,True,False,True,False,True,False,True,True,False
True,False,False,True,True,False,False,True,True,False,True,True
True,True,True,False,True,False,True,False,True,True,True,True
True,True,False,False,False,True,False,False,False,True,True,True
False,True,True,False,False,True,False,True,True,False,True,True
True,False,False,True,True,True,True,False,False,True,True,False
False,True,True,False,False,True,True,True,False,False,False,False
False,False,True,False,False,False,False,False,True,False,False,False
True,False,False,True,False,False,True,True,False,True,True,True
False,True,False,True,False,True,True,True,True,True,True,False
True,False,True,True,True,False,True,True,True,True,False,True
False,True,False,False,False,True,True,False,False,False,False,False
False,True,False,False,False,True,False,True,False,True,False,False
False,False,False,False,False,True,False,True,True,True,True,False
True,True,False,False,True,True,False,False,False,True,False,False
True,True,True,False,False,True,False,False,False,True,False,False
True,False,True,False,True,True,True,False,True,False,False,False
True,True,True,True,True,False,False,False,False,False,True,True
True,True,False,False,False,False,True,True,False,True,True,False
True,True,True,False,True,False,True,True,True,True,False,True
True,True,True,False,True,True,False,True,True,False,True,True
True,False,False,False,False,True,False,True,False,False,False,False
False,True,True,True,True,True,True,True,False,True,False,False
False,True,True,False,False,False,False,False,True,True,False,False
False,False,True,True,False,True,True,True,True,False,True,False
False,True,True,False,True,True,True,False,True,False,False,False
False,True,True,True,False,True,True,False,False,False,False,False
False,True,False,True,True,False,True,False,False,False,True,False
True,True,True,False,True,True,False,True,True,False,False,False
False,True,True,True,True,False,False,True,False,False,True,False
True,False,False,False,False,False,True,True,True,False,True,False
False,False,False,True,False,True,False,False,False,False,True,True
True,True,True,False,False,False,True,True,True,True,True,False
True,True,False,False,False,True,True,True,False,True,True,False
False,False,False,True,False,False,True,False,True,False,True,False
True,True,False,False,True,False,False,False,True,False,False,False
False,True,True,False,False,True,True,False,True,True,True,False
True,False,True,True,True,False,False,False,True,False,False,False
False,True,False,False,True,True,True,True,True,False,True,False
True,True,False,False,True,False,True,False,False,False,True,False
True,True,False,False,False,True,True,False,True,False,False,False
False,True,True,False,False,False,True,True,True,False,True,False
True,False,False,False,False,False,False,True,True,True,True,False
False,False,False,False,True,True,True,True,True,True,True,True
True,False,False,True,False,False,True,False,False,True,True,False
True,False,False,False,False,False,True,False,True,False,False,True
True,True,True,False,False,True,False,False,True,True,True,False
False,True,False,False,False,False,True,False,False,True,True,False
False,False,True,True,False,False,False,False,False,True,False,False
False,False,False,True,False,False,True,False,True,False,True,False
True,False,False,True,True,False,False,False,True,False,False,False
False,True,False,False,False,True,False,True,True,False,True,False
False,False,True,False,True,True,True,True,True,False,False,False
True,False,False,False,False,False,True,False,True,False,False,False
True,True,False,False,True,False,False,False,True,True,False,False
False,False,False,True,True,True,True,False,True,False,False,False
True,False,False,False,False,True,False,False,False,False,False,False
True,False,False,True,True,False,False,False,True,False,False,False
True,True,True,False,False,True,True,True,True,False,False,False
False,False,False,True,False,True,True,False,True,False,False,False
True,False,True,True,True,False,True,True,False,True,False,False
True,True,True,True,False,False,True,False,True,False,True,False
True,True,True,False,False,False,True,True,False,True,True,False
True,False,False,False,False,True,False,True,True,True,True,False
False,False,True,True,False,False,True,False,True,False,False,True
True,True,False,True,False,False,False,True,True,False,True,True
True,False,False,True,True,False,True,False,True,True,True,False
False,False,False,True,False,True,True,False,True,False,True,False
True,False,False,False,True,False,True,True,True,True,False,True
True,False,True,False,True,True,False,False,False,False,False,True
True,False,True,False,False,True,True,False,False,False,False,False
True,False,True,True,False,True,False,False,False,True,False,True
False,False,False,False,False,True,True,True,False,True,True,False
False,True,True,False,True,False,True,True,False,False,False,True
False,True,False,True,False,False,False,True,True,True,True,False
False,True,False,True,True,False,True,False,True,True,True,False
False,False,False,True,True,True,True,False,True,True,False,True
False,True,False,True,False,True,True,False,False,True,False,False
True,True,True,True,True,True,False,True,False,False,False,False
True,True,True,True,True,True,False,True,False,False,False,False
False,True,True,False,False,True,False,False,True,True,True,False
True,False,False,True,True,False,True,True,False,False,False,False
True,True,True,True,False,True,True,False,False,True,True,False
True,True,False,False,False,True,False,True,False,True,True,False
False,False,False,False,True,False,True,False,True,True,False,False
False,False,True,True,True,True,True,False,False,True,True,False
False,True,False,True,True,False,False,False,True,False,True,False
False,True,True,False,False,False,False,False,True,True,False,False
False,True,False,True,False,True,True,True,True,True,True,False
False,True,True,True,False,False,True,True,True,False,False,False
True,True,True,True,False,True,False,False,False,True,False,False
True,True,False,True,False,False,True,True,True,True,True,False
False,False,False,False,False,True,False,True,False,True,True,False
False,False,True,False,False,True,False,True,True,False,False,False
True,False,False,True,False,True,False,True,True,False,False,False
False,True,False,True,True,True,False,True,False,False,False,False
True,True,True,True,True,True,False,True,True,False,True,True
False,True,True,True,False,False,False,False,False,False,True,False
False,True,True,False,True,False,False,False,True,True,True,False
False,False,True,True,False,True,True,True,True,True,True,False
True,True,True,False,True,True,True,True,True,False,False,False
True,False,True,False,False,True,True,True,False,True,True,True
False,True,True,True,False,False,True,True,True,True,True,False
True,False,False,True,False,False,False,False,False,True,True,False
True,False,True,False,True,False,True,False,True,True,True,False
False,True,True,True,True,False,True,True,False,True,True,False
True,True,True,True,True,False,True,True,False,True,False,False
False,False,True,True,False,True,False,False,True,True,False,True
True,True,True,True,False,False,True,False,False,False,False,False
False,False,True,True,False,True,False,False,False,True,True,False
True,False,False,True,False,False,False,False,False,False,True,False
False,False,False,True,False,True,True,True,False,True,False,False
True,True,False,False,False,True,True,False,False,False,False,False
False,False,True,True,True,True,False,True,True,True,False,True
False,True,False,False,False,True,False,False,False,True,True,False
True,False,True,True,False,True,False,True,True,False,True,False
False,True,True,False,True,True,True,True,False,False,False,True
True,False,False,False,True,False,True,True,True,False,True,False
False,True,True,True,False,False,False,False,True,True,False,False
False,False,True,False,True,True,True,False,False,True,True,False
True,False,False,False,True,True,False,False,True,False,False,False
False,False,False,True,False,True,False,False,False,True,False,False
True,True,False,True,True,False,False,True,True,True,True,False
True,True,False,True,False,True,True,False,True,True,False,False
True,False,False,False,True,True,True,True,False,False,True,False
True,True,True,False,True,False,False,True,True,True,True,True
True,True,True,False,True,False,False,True,False,False,False,False
True,True,True,True,True,False,True,False,False,True,True,False
False,True,True,False,True,True,True,False,False,False,False,False
True,False,False,False,True,False,True,False,False,False,False,False
False,True,False,False,False,False,True,False,True,True,True,False
True,True,False,True,True,True,True,True,False,True,True,True
True,False,False,True,False,True,True,True,False,True,True,False
True,True,True,True,False,False,True,False,True,True,False,False
True,True,True,False,False,True,True,True,True,False,False,False
False,False,True,False,True,False,True,False,False,True,False,False
False,True,True,True,False,True,False,True,False,True,True,False
False,False,True,False,False,False,False,True,False,True,False,False
False,True,False,False,False,True,True,True,False,False,False,False
True,True,True,False,False,False,False,False,True,True,True,False
True,True,False,True,False,False,False,True,True,True,True,False
False,False,False,False,False,True,False,True,True,True,True,False
True,False,True,True,True,True,True,True,True,False,False,True
True,True,True,False,False,False,False,True,True,False,True,False
True,False,False,False,False,True,True,False,True,True,False,False
True,True,True,True,False,True,True,True,True,False,True,True
True,True,False,True,True,True,True,True,True,True,False,False
False,True,True,True,False,True,True,False,False,True,False,False
False,False,False,False,False,True,True,False,True,False,False,False
True,False,True,True,True,True,True,True,True,True,False,False
False,False,False,True,False,True,True,True,False,False,False,False
True,False,False,True,True,True,False,True,False,False,True,False
True,False,False,False,True,False,False,True,False,False,False,False
True,False,False,True,True,False,False,False,False,False,True,False
True,True,True,False,True,True,False,False,False,False,True,True
False,True,True,False,True,True,True,False,False,True,True,False
True,True,False,True,False,False,True,True,True,False,False,False
True,True,True,False,False,False,False,True,False,False,False,False
False,False,False,True,True,True,True,False,False,False,True,False
False,True,False,True,True,False,False,True,False,True,False,False
True,False,True,False,False,False,False,True,True,True,False,False
True,True,True,False,False,False,False,False,False,True,False,False
True,False,True,True,True,True,True,False,True,True,True,False
False,False,False,False,False,False,False,False,False,True,False,True
True,True,True,True,False,True,True,False,False,True,True,False
False,True,False,False,True,True,True,True,False,False,True,True
False,True,False,False,False,True,False,True,True,False,True,True
False,True,True,False,True,True,False,True,False,True,False,False
False,False,False,True,True,False,False,True,False,True,True,False
False,False,True,True,True,True,True,True,False,False,True,False
True,True,True,True,True,True,True,True,False,True,True,True
False,True,True,True,False,True,True,False,False,False,True,False
False,True,False,False,False,False,False,True,True,True,True,False
True,False,True,True,False,True,False,True,True,True,False,False
False,False,True,True,True,False,False,False,False,True,False,False
False,True,False,False,False,False,False,False,True,False,False,False
True,True,False,False,True,True,False,True,False,False,False,True
False,False,False,False,True,True,True,True,True,False,False,False
True,True,False,False,True,False,True,False,False,False,False,True
True,False,False,True,True,True,True,True,True,False,True,False
False,True,True,False,True,False,False,True,True,True,False,False
True,False,False,False,True,True,True,True,True,False,False,False
True,True,True,True,True,True,False,False,True,False,False,False
True,True,False,True,True,False,False,True,True,True,True,True
False,True,True,True,False,False,True,True,True,False,True,False
False,False,True,True,False,False,True,True,False,True,True,False
False,False,False,False,False,False,False,True,False,False,True,False
False,True,False,True,False,False,True,False,False,True,True,False
True,True,False,True,False,False,False,True,False,False,True,False
True,False,True,False,True,False,True,False,True,True,True,False
True,True,True,True,False,True,False,False,False,False,False,False
False,False,False,False,True,False,False,False,True,True,False,False
True,False,False,True,False,False,True,True,True,False,False,False
True,False,False,True,False,True,False,True,False,False,False,False
False,False,False,False,True,False,True,True,True,False,False,False
False,False,True,False,False,True,False,True,True,False,True,False
True,False,False,True,True,False,False,True,True,False,True,False
True,True,True,True,True,True,True,False,True,True,True,True
False,False,False,True,False,False,True,False,False,False,False,False
False,True,True,False,False,False,True,True,True,False,False,True
False,False,True,False,True,False,True,True,False,True,False,False
True,False,False,False,False,True,True,False,False,True,True,False
False,False,False,True,False,False,True,False,False,True,False,False
False,True,False,True,False,False,False,False,True,True,True,False
False,False,True,False,True,True,True,True,True,False,True,False
True,True,False,True,True,True,False,True,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False
True,False,True,True,False,True,False,True,True,True,True,False
False,False,False,True,False,False,False,True,False,False,False,False
True,True,False,True,False,True,False,False,False,True,False,False
True,True,True,True,False,False,False,False,False,True,True,False
False,True,False,False,False,True,False,False,False,True,True,False
False,True,True,False,False,False,False,False,True,True,False,False
False,True,False,False,False,True,True,True,False,True,False,False
False,False,False,True,True,False,True,True,True,False,False,False
True,False,True,True,True,True,False,True,False,False,True,False
False,False,True,False,False,False,True,True,False,True,False,False
True,True,False,True,False,False,False,False,True,False,False,False
True,False,True,True,True,True,False,False,True,False,False,False
False,True,False,True,True,True,False,True,True,False,False,False
True,False,True,False,True,True,True,True,True,False,False,True
True,True,True,True,False,False,True,False,False,False,False,False
False,False,True,True,True,False,True,False,False,True,True,False
False,False,False,False,True,False,False,False,False,True,True,True
True,True,True,True,False,False,True,False,True,False,False,False
True,True,False,False,True,True,False,False,True,True,True,False
False,False,True,True,True,False,True,False,False,False,False,False
False,False,False,True,True,True,True,True,False,False,False,True
False,True,True,True,False,False,True,False,False,True,True,False
False,True,True,False,True,True,True,True,False,True,False,False
True,True,True,False,True,False,False,True,False,True,False,False
True,True,True,False,False,False,True,False,True,False,True,False
True,False,False,True,False,True,False,False,False,True,False,True
False,False,False,False,False,True,False,False,True,False,False,False
True,False,False,False,True,False,False,False,True,True,False,False
False,False,True,True,True,True,True,True,True,True,True,False
True,False,False,False,True,True,False,False,False,True,True,False
True,False,False,False,False,True,False,True,True,True,False,True
True,False,False,True,False,False,True,True,False,False,False,False
False,True,True,False,False,True,False,False,False,True,False,False
True,True,False,True,False,False,True,True,False,True,False,True
False,True,True,False,True,False,False,False,False,True,False,True
False,False,False,False,True,False,False,True,False,True,False,True
False,False,True,True,False,True,False,False,False,False,False,True
True,False,True,True,False,True,True,True,False,False,True,False
False,True,True,False,True,False,True,False,False,True,True,True
False,True,False,False,True,True,False,True,True,False,True,False
True,True,False,False,True,True,True,False,False,True,True,False
False,False,False,True,True,False,False,False,False,False,True,False
True,False,False,False,False,False,True,True,False,False,True,False
True,True,True,True,True,False,True,True,False,False,False,True
False,True,False,False,False,False,True,True,True,True,True,False
False,False,False,False,True,False,True,True,True,False,True,False
True,False,True,True,False,True,False,False,True,True,False,False
False,True,True,True,False,False,True,True,True,False,False,False
False,True,True,True,True,True,False,False,False,True,False,False
True,True,True,True,False,True,False,False,True,False,False,True
False,False,True,True,False,False,False,True,False,True,False,False
True,False,False,False,True,True,True,False,True,False,True,False
True,True,False,False,False,True,True,False,True,True,True,False
False,False,True,True,False,False,False,True,False,False,True,False
True,True,True,False,True,True,True,False,True,True,False,False
True,True,True,False,True,False,True,True,True,True,False,False
True,False,True,True,True,True,False,False,False,False,False,False
False,False,False,True,False,True,False,True,True,True,True,False
True,False,False,True,True,False,True,True,True,True,True,False
True,True,True,True,False,False,True,True,False,False,True,False
False,True,True,False,False,True,True,True,True,False,True,False
True,False,True,False,True,True,True,True,True,True,False,True
True,False,False,False,False,False,True,False,False,True,True,False
False,True,True,False,False,True,True,False,False,True,False,False
False,True,False,True,False,True,True,True,True,False,True,False
False,False,True,False,True,True,True,True,True,False,True,True
False,False,False,True,True,False,False,True,True,True,True,False
True,True,True,False,True,False,True,True,True,True,True,False
False,True,False,False,False,False,False,False,False,False,True,True
False,False,False,True,True,True,False,False,True,True,False,False
False,True,False,True,True,False,False,False,False,True,False,False
True,True,True,False,True,False,False,True,False,True,True,False
True,True,True,False,True,True,True,True,True,False,False,False
False,True,True,True,False,False,False,True,False,False,True,True
True,True,True,True,False,True,False,True,False,False,True,False
False,True,True,True,True,False,False,True,False,False,False,False
True,False,False,False,True,True,True,False,True,True,True,False
True,False,False,True,True,False,False,False,False,False,False,False
True,True,True,False,True,False,False,False,False,False,True,False
True,True,True,True,True,False,True,False,True,True,True,False
False,False,False,True,True,True,True,False,False,True,False,False
True,False,False,True,True,True,True,False,False,False,True,False
True,False,True,True,False,False,True,False,False,True,False,False
False,False,True,False,True,True,False,True,True,False,False,False
False,True,True,True,True,False,True,True,False,False,True,False
False,True,True,False,False,False,True,False,False,False,True,False
False,True,False,True,False,True,False,True,False,True,False,False
False,False,True,True,True,True,False,False,False,True,True,False
True,True,False,True,False,False,True,True,True,True,True,False
True,True,False,True,False,True,False,False,False,False,True,False
False,False,False,True,False,False,False,True,True,True,True,False
False,True,False,True,True,False,True,False,True,True,False,False
False,True,False,False,True,False,False,False,True,False,False,False
False,True,False,False,True,True,True,False,True,False,True,True
False,True,True,False,True,False,True,True,False,False,True,False
False,True,True,True,False,True,True,False,False,True,False,True
False,True,True,True,False,False,False,False,False,True,False,False
True,True,False,True,True,False,False,False,False,False,False,False
False,True,True,True,False,False,True,False,False,False,False,False
False,False,True,False,True,False,False,True,False,True,True,False
True,False,True,False,False,False,False,False,True,False,False,False
True,True,False,False,True,True,False,True,False,False,True,False
False,False,False,False,False,True,True,False,True,False,False,False
True,False,False,True,False,True,False,True,True,True,False,False
False,False,True,False,False,True,True,True,False,True,False,False
False,False,True,False,True,False,True,False,True,False,False,False
False,True,True,False,True,False,True,False,True,False,False,False
True,True,True,False,True,True,True,False,False,False,False,True
False,True,True,False,False,True,False,True,True,True,False,True
True,True,True,False,True,False,True,True,False,False,True,False
False,False,True,False,True,True,False,False,True,True,False,False
True,False,True,True,False,False,True,True,True,False,True,False
False,False,False,False,True,False,True,False,False,True,True,False
False,False,True,True,True,False,True,True,False,False,True,False
False,True,True,False,True,True,False,False,False,False,False,False
False,False,False,True,True,False,True,True,True,False,True,False
True,True,True,True,False,True,True,False,False,False,True,False
False,True,True,False,True,True,True,False,True,True,False,False
True,False,True,True,True,False,True,False,False,True,False,False
False,False,True,True,False,False,True,False,False,True,False,False
True,False,True,True,False,True,True,True,True,True,True,False
False,True,True,False,False,True,True,False,False,True,False,False
True,False,True,True,False,True,True,True,True,False,False,False
False,True,False,True,True,False,False,True,False,True,False,True
False,False,True,True,True,False,True,False,False,False,False,False
True,False,False,False,True,True,False,False,False,False,False,False
True,False,True,False,False,True,False,True,True,True,False,False
True,False,False,True,True,False,False,False,False,True,False,False
False,True,True,False,False,True,True,False,False,True,False,False
False,False,False,True,True,False,True,False,False,True,False,False
False,False,False,True,False,True,True,True,False,False,False,False
False,False,False,True,True,False,True,True,False,True,False,False
True,False,False,True,False,True,True,False,False,True,False,False
False,False,False,False,False,False,True,False,True,True,True,True
False,False,False,False,False,False,False,True,True,False,False,True
False,True,False,True,False,True,True,True,True,False,True,False
True,True,True,True,True,False,True,False,False,True,False,False
False,False,True,True,True,False,True,False,False,True,False,False
True,False,False,True,True,True,True,True,True,False,True,False
False,False,False,False,True,False,True,True,True,True,True,False
True,True,True,False,True,True,False,False,True,True,False,False
False,False,True,True,True,True,False,False,False,True,False,False
True,True,True,False,False,False,False,False,False,False,False,False
False,False,True,False,False,False,True,False,False,False,True,True
True,False,False,True,True,False,True,False,True,True,True,True
False,True,True,True,True,False,True,False,True,False,True,False
True,False,True,True,False,True,True,True,True,True,False,False
True,False,False,False,True,False,False,False,True,True,False,False
True,True,False,True,False,True,True,True,False,False,False,False
True,True,True,False,False,False,False,True,False,True,False,False
False,False,False,True,True,True,True,True,False,False,True,False
False,True,False,False,True,False,True,True,False,False,False,True
False,False,True,False,False,True,True,False,False,True,True,True
True,True,True,True,True,False,False,False,True,True,False,False
True,False,True,True,False,True,True,True,False,True,True,False
True,False,False,True,True,True,False,True,False,True,True,False
False,True,False,False,True,True,False,False,False,False,False,False
False,False,False,False,True,True,True,False,False,False,False,False
True,False,True,False,False,True,True,False,False,True,False,True
True,False,True,False,True,True,False,True,True,True,False,False
False,True,True,False,False,True,False,True,False,False,True,False
False,True,False,False,True,False,False,True,True,False,False,True
True,True,False,True,True,False,True,False,True,True,True,False
True,False,False,True,False,False,False,True,False,False,True,True
False,True,True,False,False,False,False,True,True,True,False,False
False,True,False,False,False,True,False,True,False,True,False,False
False,True,True,False,False,False,False,True,True,True,True,False
True,False,True,False,True,False,False,False,False,False,False,False
False,False,True,True,True,True,True,False,False,False,False,True
False,False,True,False,False,True,True,True,False,False,True,False
True,True,True,False,False,True,True,False,False,True,True,False
False,True,False,True,False,False,True,True,False,False,False,True
False,True,True,True,False,False,False,True,True,True,True,False
False,False,True,False,True,True,False,False,True,True,False,False
True,False,False,False,False,True,False,True,True,True,True,False
False,False,False,True,True,False,False,False,False,True,True,False
